Condition,Tag,Never on kids,,,Boots Links,Generic Over the counter medication,Brand name Over the counter medication,Generic Prescription name,Brand Prescription name,Selfcare
balanitis,Only,,"Balanitis is an inflammation of the glans (head) of the penis, often caused by poor hygiene, infections (bacterial or fungal), irritants, or underlying conditions like diabetes. ","Balanitis is an inflammation of the glans (head) of the penis, often caused by poor hygiene, infections (bacterial or fungal), irritants (soaps, lotions, or latex), or underlying conditions like diabetes. Symptoms include redness, swelling, pain, itching, and sometimes discharge. Treatment depends on the cause—good hygiene and avoiding irritants can help mild cases, while antifungal creams (for yeast infections), antibiotics (for bacterial infections), or steroid creams (for irritation) may be needed. If balanitis is recurrent, managing underlying conditions and, in some cases, circumcision might be considered. If symptoms persist, a physician should be consulted.",https://www.firstderm.com/boots-balanitis/,Hydrocortisone 1%,"Cortizone-10, Anucort-HC","Clotrimazole, Fluconazole, Mupirocin","Lotrimin, Diflucan, Bactroban","Good hygiene, avoid irritants"
basal_cell_carcinoma,Never,Never,"Basal cell carcinoma (BCC) is the most common type of skin cancer, typically caused by prolonged exposure to ultraviolet (UV) radiation.","Basal cell carcinoma (BCC) is the most common type of skin cancer, typically caused by prolonged exposure to ultraviolet (UV) radiation. It arises from the basal cells in the epidermis and usually appears as a pearly or waxy bump, a flat, scaly patch, or a sore that doesn’t heal. While BCC grows slowly and rarely spreads to other parts of the body, it can cause local tissue damage if left untreated. Treatment options include surgical excision, Mohs surgery (precise layer-by-layer removal), cryotherapy (freezing the cancer cells), topical medications (such as imiquimod or 5-fluorouracil), and radiation therapy for inoperable cases. Early detection and treatment are key to preventing complications.",https://www.firstderm.com/boots-basal-cell-carcinoma-basalioma/,None,None,"Imiquimod, Fluorouracil","Aldara, Efudex","Sun protection, skin checks"
benign_other,Can be,,A benign tumor is a non-cancerous growth that forms when cells divide and grow abnormally,"A benign tumor is a non-cancerous growth that forms when cells divide and grow abnormally but do not invade nearby tissues or spread (metastasize) to other parts of the body. These tumors usually grow slowly, have well-defined borders, and often remain localized to one area. Examples of Benign Tumors: Lipoma – Fatty growth under the skin, soft and movable. Fibroma – Fibrous tissue growth, common in skin and uterus (uterine fibroids). Adenoma – Arises from glandular tissue (e.g., colon polyps or pituitary adenomas). Hemangioma - Growth of blood vessels, often seen as red birthmarks. ",,Depends on specific lesion,Depends,N/A or monitored,N/A,"Observation, sun protection"
borrelia,Can be,,Borrelia is a genus of spiral-shaped bacteria responsible for diseases such as Lyme disease (caused by Borrelia burgdorferi) and relapsing fever.,"Borrelia is a genus of spiral-shaped bacteria responsible for diseases such as Lyme disease (caused by Borrelia burgdorferi) and relapsing fever. These bacteria are primarily transmitted to humans through tick or lice bites. Symptoms vary but often include fever, fatigue, joint pain, and, in Lyme disease, a characteristic bullseye rash (erythema migrans). Treatment typically involves antibiotics such as doxycycline, amoxicillin, or cefuroxime, with early intervention leading to better outcomes. In severe cases or neurological involvement, intravenous antibiotics like ceftriaxone may be necessary. Preventative measures include avoiding tick-infested areas, using insect repellents, and performing tick checks after outdoor activities.",https://www.firstderm.com/boots-lyme-disease/,None,None,"Doxycycline, Amoxicillin","Vibramycin, Amoxil","Tick prevention, prompt removal"
chilblains_pernio,Never,,"Chilblains (Pernio) is an inflammatory skin condition caused by repeated exposure to cold, damp conditions.","Chilblains (Pernio) is an inflammatory skin condition caused by repeated exposure to cold, damp conditions. It results in red, swollen, itchy, and sometimes blistered or ulcerated patches on fingers, toes, ears, or nose. The condition occurs due to abnormal reactions of small blood vessels to cold temperatures, leading to poor circulation and localized inflammation. Treatment focuses on keeping affected areas warm and dry, avoiding sudden temperature changes, and using topical corticosteroids or soothing creams to reduce inflammation and itching. Severe cases may require medications like nifedipine, which helps improve circulation. If symptoms persist or ulcers form, medical attention is necessary.",https://www.firstderm.com/boots-chilblains-pernio/,None,None,Nifedipine,Adalat,"Keep warm, avoid damp/cold"
condyloma,Only,Never,"Condyloma, commonly known as genital warts, is caused by certain strains of the human papillomavirus (HPV), particularly types 6 and 11.","Condyloma, commonly known as genital warts, is caused by certain strains of the human papillomavirus (HPV), particularly types 6 and 11. These warts appear as small, flesh-colored or grayish growths in the genital or anal area and can vary in size and shape. While they are often painless, they may cause itching, discomfort, or bleeding. Treatment options include topical medications (such as imiquimod, podophyllotoxin, or sinecatechins), cryotherapy (freezing the warts with liquid nitrogen), electrocautery (burning the warts off), surgical removal, and laser therapy in severe cases. HPV vaccination can help prevent infection, and practicing safe sex reduces the risk of transmission. It's essential to consult a healthcare provider for proper diagnosis and treatment.",https://www.firstderm.com/boots-genital-warts/,Imiquimod (Rx/OTC in some countries),"Aldara (Rx), Zyclara","Podophyllotoxin, Sinecatechins","Condyline, Veregen",Safe sex practices
contact_dermatitis,Can be,,"Contact dermatitis is a skin condition caused by direct contact with an irritant or allergen, leading to redness, itching, swelling, and sometimes blisters.","Contact dermatitis is a skin condition caused by direct contact with an irritant or allergen, leading to redness, itching, swelling, and sometimes blisters. It can be triggered by substances like soaps, detergents, cosmetics, plants (e.g., poison ivy), or certain metals (e.g., nickel). Treatment involves identifying and avoiding the trigger, applying soothing moisturizers, and using over-the-counter hydrocortisone creams or antihistamines to reduce inflammation and itching. In severe cases, a physician may prescribe stronger corticosteroids or other medications. Keeping the skin hydrated and using gentle, fragrance-free products can help prevent future flare-ups.",https://www.firstderm.com/boots-contact-dermatitis/,"Hydrocortisone 1%, Calamine","Cortizone-10, Caladryl","Betamethasone, Clobetasol","Betnovate, Dermovate",Avoid allergens/irritants
dermal_nevus,Can be,,"A dermal nevus is a type of benign mole (nevus) that originates from melanocytes, the pigment-producing cells in the skin.","A dermal nevus is a type of benign mole (nevus) that originates from melanocytes, the pigment-producing cells in the skin. It typically appears as a raised, flesh-colored to brown lesion with a smooth or warty surface. These nevi are commonly found on the face, trunk, or limbs and usually develop in childhood or early adulthood. Treatment is generally not necessary unless the nevus causes cosmetic concerns, irritation, or undergoes changes suggestive of malignancy. Removal options include surgical excision, shave removal, or laser therapy, depending on the nevus’s size and location. It is important to monitor any changes in color, shape, or size and consult a physician if concerns arise.",https://www.firstderm.com/boots-mole-congenital-nevus/,None,None,,N/A,Monitoring for changes
"dermatitis,_uns",Can be,,"Dermatitis, unspecified (dermatitis, UNS) refers to a general inflammation of the skin without a specific cause or type identified.","Dermatitis, unspecified (dermatitis, UNS) refers to a general inflammation of the skin without a specific cause or type identified. It may present as redness, itching, swelling, or dryness and can result from various triggers, including allergens, irritants, or underlying conditions. Treatment focuses on symptom relief and includes moisturizing the skin, avoiding known irritants, and using anti-inflammatory medications such as topical corticosteroids or antihistamines. In some cases, lifestyle adjustments like using mild soaps and wearing loose clothing can help. If symptoms persist or worsen, a physician should be consulted for a more precise diagnosis and targeted treatment.",https://www.firstderm.com/boots-contact-dermatitis/,Hydrocortisone 1%,"Cortaid, Cortizone-10","Mometasone, Tacrolimus","Elocon, Protopic","Moisturizing, avoid triggers"
dermatofibroma,Never,Never,"A dermatofibroma is a common, benign skin growth that typically appears as a small, firm, slightly raised or dimpled nodule, often brown, pink, or reddish in color.","A dermatofibroma is a common, benign skin growth that typically appears as a small, firm, slightly raised or dimpled nodule, often brown, pink, or reddish in color. It usually develops on the legs, arms, or trunk and is composed of fibrous tissue. Dermatofibromas are generally harmless and asymptomatic, though they may cause mild itching or tenderness. Treatment is not necessary unless the lesion is bothersome or cosmetically undesirable. If removal is desired, options include surgical excision (which may leave a scar) or cryotherapy, though freezing may not completely eliminate the growth and could lead to recurrence.",https://www.firstderm.com/boots-dermatofibroma/,None,None,Surgical excision if symptomatic,N/A,Usually no treatment needed
dyshidrotic_eczema,Never,Never,"Dyshidrotic eczema, also known as pompholyx, is a chronic skin condition characterized by small, itchy, fluid-filled blisters that appear on the palms, fingers, and soles of the feet.","Dyshidrotic eczema, also known as pompholyx, is a chronic skin condition characterized by small, itchy, fluid-filled blisters that appear on the palms, fingers, and soles of the feet. The exact cause is unknown, but triggers include stress, allergies, excessive sweating, and exposure to irritants like nickel or cobalt. Treatment focuses on managing symptoms through the use of topical corticosteroids, antihistamines for itching, and emollients to keep the skin hydrated. In severe cases, phototherapy or immune-modulating medications may be needed. Avoiding triggers, reducing stress, and keeping hands and feet dry can help prevent flare-ups.",https://www.firstderm.com/boots-dyshidrotic-eczema/,Hydrocortisone 1%,Cortizone-10,"Clobetasol, Tacrolimus","Dermovate, Protopic","Cold compresses, moisturisers, avoid triggers"
eczema_hypostaticum,Never,Never,"Eczema hypostaticum, also known as stasis dermatitis, is a chronic inflammatory skin condition that occurs due to poor circulation (venous insufficiency), typically affecting the lower legs.","Eczema hypostaticum, also known as stasis dermatitis, is a chronic inflammatory skin condition that occurs due to poor circulation (venous insufficiency), typically affecting the lower legs. It presents as red, scaly, itchy, and sometimes weeping skin, often accompanied by swelling and skin darkening (hyperpigmentation) over time. The primary treatment focuses on improving circulation, which includes leg elevation, compression therapy (if not contraindicated), and regular movement. Topical treatments like moisturizers, corticosteroid creams, and barrier-repairing ointments help reduce inflammation and prevent dryness. In cases of infection or severe inflammation, antibiotics or stronger prescription medications may be necessary. Long-term management includes controlling underlying conditions (e.g., varicose veins, heart failure) and maintaining good skin hygiene.",https://www.firstderm.com/boots-eczema-hypostatic/,Emollients,"Eucerin, Aveeno","Clobetasol, Tacrolimus",Betnovate,"Elevation of legs, compression stockings"
eczema_nummularis,Can be,Never,"Eczema nummularis, also known as nummular eczema or discoid eczema, is a chronic skin condition characterized by coin-shaped, itchy, inflamed patches that often appear on the arms, legs, or torso.","Eczema nummularis, also known as nummular eczema or discoid eczema, is a chronic skin condition characterized by coin-shaped, itchy, inflamed patches that often appear on the arms, legs, or torso. These lesions may be dry, scaly, or ooze fluid, leading to crusting. The exact cause is unclear, but it is often linked to dry skin, allergens, irritants, and environmental factors. Treatment includes moisturizing regularly, using topical corticosteroids or calcineurin inhibitors, and avoiding triggers like harsh soaps and allergens. In severe cases, antibiotics may be needed if infection occurs, and antihistamines can help relieve itching. A physician can provide personalized management strategies.",https://www.firstderm.com/boots-nummular-eczema/,"Emollients, Hydrocortisone 1%","Aveeno, Cortizone-10","Clobetasol, Tacrolimus","Dermovate, Protopic","Moisturising, avoid hot water"
epidermal_benign_cyst,Can be,,"An epidermal benign cyst, commonly known as an epidermoid cyst, is a non-cancerous, slow-growing lump that forms beneath the skin.","An epidermal benign cyst, commonly known as an epidermoid cyst, is a non-cancerous, slow-growing lump that forms beneath the skin. It typically develops due to the accumulation of keratin within a sac, often resulting from blocked hair follicles or skin trauma. These cysts are usually painless but can become red, swollen, or infected. Treatment isn't always necessary unless the cyst causes discomfort or infection. In such cases, options include incision and drainage, surgical excision to remove the entire cyst wall, or intralesional steroid injections to reduce inflammation. If infected, antibiotics may be prescribed. It's best to consult a physician for proper evaluation and management.",https://www.firstderm.com/boots-epidermal-cyst/,None,None,Incision and drainage (if inflamed),N/A,"Warm compresses, hygiene"
erysipelas,Never,,"Erysipelas is a bacterial skin infection, usually caused by Streptococcus bacteria, that affects the upper layers of the skin.","Erysipelas is a bacterial skin infection, usually caused by Streptococcus bacteria, that affects the upper layers of the skin. It presents as a well-defined, red, swollen, and warm area, often with a raised border, typically on the legs or face. Symptoms can include fever, chills, and general malaise. Treatment involves oral or intravenous antibiotics, with penicillin being the first-line choice. In cases of allergy, alternatives like clindamycin or erythromycin may be used. Pain relievers, elevation of the affected limb, and proper wound care can also help in recovery. Prompt medical attention is necessary to prevent complications such as abscesses or sepsis.",https://www.firstderm.com/boots-erysipelas/,None,None,"Penicillin, Erythromycin","Penicillin VK, Erythrocin","Elevation, rest, hydration"
erythema_infectiosum_fifth_disease,Never,,"Erythema infectiosum (Fifth Disease) is a common viral infection caused by parvovirus B19, primarily affecting children.","Erythema infectiosum (Fifth Disease) is a common viral infection caused by parvovirus B19, primarily affecting children. It is characterized by a ""slapped-cheek"" rash on the face, followed by a lacy red rash on the body. Symptoms may include mild fever, fatigue, and joint pain, especially in adults. The illness is usually mild and self-limiting, resolving on its own within one to three weeks. Treatment focuses on symptom relief, including rest, hydration, and over-the-counter pain relievers like acetaminophen or ibuprofen. Since it is viral, antibiotics are not effective. Those with weakened immune systems should consult a physician, as complications can arise.",,"Paracetamol, Ibuprofen","Tylenol, Advil",None (self-limiting),N/A,"Fluids, rest, fever management"
folliculitis,Can be,,"Folliculitis is a common skin condition that occurs when hair follicles become inflamed due to infection, irritation, or blockage.","Folliculitis is a common skin condition that occurs when hair follicles become inflamed due to infection, irritation, or blockage. It often appears as red, itchy, or pus-filled bumps, resembling acne, and can be caused by bacteria (like Staphylococcus aureus), fungi, or friction from clothing. Mild cases usually resolve on their own, but treatment may include applying warm compresses, using antibacterial or antifungal cleansers, and avoiding tight clothing. More severe cases may require topical or oral antibiotics, antifungal medications, or corticosteroids. Keeping the skin clean and dry can help prevent future outbreaks.",https://www.firstderm.com/boots-folliculitis/,"Benzoyl peroxide, Hydrocortisone 1%",PanOxyl,"Mupirocin, Clindamycin","Bactroban, Cleocin","Antibacterial washes, loose clothing"
furuncle_deep_folliculitis,Can be,,"A furuncle, or deep folliculitis, is a painful, pus-filled bump that forms under the skin due to a bacterial infection of a hair follicle.","A furuncle, or deep folliculitis, is a painful, pus-filled bump that forms under the skin due to a bacterial infection of a hair follicle, most commonly caused by Staphylococcus aureus. It often appears as a red, swollen nodule that may develop a central white or yellow head as it fills with pus. Treatment involves applying warm compresses to promote drainage, maintaining good hygiene, and avoiding squeezing the lesion to prevent spreading the infection. If the furuncle is large, persistent, or accompanied by fever, a healthcare provider may need to drain it surgically and prescribe oral antibiotics. In recurrent cases, antibacterial washes or nasal mupirocin may be recommended to reduce bacterial colonization.",https://www.firstderm.com/boots-folliculitis/,"Benzoyl peroxide wash 
Bacitracin
Neomycin/polymyxin B ","PanOxyl 4–10%
Neosporin – avoid if allergic","Dicloxacillin, Clindamycin","Dynapen, Cleocin","Warm compresses, hygiene"
genital_herpes,Only,Never,"Genital herpes is a sexually transmitted infection (STI) caused by the herpes simplex virus (HSV), typically HSV-2.","Genital herpes is a sexually transmitted infection (STI) caused by the herpes simplex virus (HSV), typically HSV-2, though HSV-1 can also be responsible. It presents as painful blisters or sores on the genital and surrounding areas, often accompanied by itching, burning, or flu-like symptoms during outbreaks. While there is no cure, antiviral medications like acyclovir, valacyclovir, and famciclovir can help manage symptoms, reduce outbreak frequency, and lower transmission risk. Safe sex practices and communication with partners are crucial in managing and preventing the spread of the virus.",https://www.firstderm.com/boots-genital-herpes/,"Pain relief
Lidocaine 5% gel/cream
Benzocaine ointments
Pramoxine creams 
Ibuprofen
Paracetamol ",Vagisil,"Acyclovir, Valacyclovir","Zovirax, Valtrex","Avoid triggers, hygiene, stress management"
granuloma_annulare,Can be,,"Granuloma annulare is a chronic skin condition characterized by raised, reddish or skin-colored bumps forming ring-shaped patterns.","Granuloma annulare is a chronic skin condition characterized by raised, reddish or skin-colored bumps forming ring-shaped patterns, most commonly on the hands, feet, elbows, or knees. The exact cause is unknown, but it is thought to be related to immune system dysfunction and may be triggered by infections, minor skin injuries, or systemic diseases like diabetes. Treatment is often unnecessary, as the condition can resolve on its own. However, for persistent or widespread cases, corticosteroid creams, intralesional steroid injections, cryotherapy, or phototherapy may be used to reduce inflammation and promote healing. If granuloma annulare is widespread, systemic medications such as hydroxychloroquine or dapsone may be prescribed.",https://www.firstderm.com/boots-granuloma-annulare/,Hydrocortisone 1%,Cortaid,"Clobetasol, Intralesional corticosteroids",Dermovate,"Usually self-resolving, monitor only"
hair_condition_other,Can be,,,,,,,,,
"hand,_foot_and_mouth_disease",Never,,"Hand, foot, and mouth disease (HFMD) is a contagious viral infection primarily affecting young children but can also occur in adults. It is caused by enteroviruses, most commonly the coxsackievirus.","Hand, foot, and mouth disease (HFMD) is a contagious viral infection primarily affecting young children but can also occur in adults. It is caused by enteroviruses, most commonly the coxsackievirus. HFMD is characterized by fever, sore throat, and painful sores in the mouth, along with a rash or blisters on the hands, feet, and sometimes the buttocks. The illness usually resolves within 7–10 days without specific treatment. Management focuses on symptom relief, including hydration, pain relief (acetaminophen or ibuprofen), and soothing mouth ulcers with cold foods or topical gels. Good hygiene and avoiding close contact with infected individuals help prevent its spread. If severe symptoms arise, a physician should be consulted.",,"Paracetamol, Ibuprofen","Tylenol, Advil","None (viral, self-limiting)",N/A,"Fluids, rest, soft foods"
hematoma,Can be,,"A hematoma is a localized collection of blood outside blood vessels, usually caused by trauma, injury, or surgery, leading to blood pooling under the skin, muscles, or other tissues.","A hematoma is a localized collection of blood outside blood vessels, usually caused by trauma, injury, or surgery, leading to blood pooling under the skin, muscles, or other tissues. It often appears as a swollen, bruised area that may be tender or firm. Most hematomas heal on their own, but treatment includes rest, ice, compression, and elevation (R.I.C.E.) to reduce swelling and pain. Over-the-counter pain relievers like acetaminophen or ibuprofen can help manage discomfort. If a hematoma is large, continues to grow, or causes significant pain, medical evaluation may be needed to drain it or rule out complications.",https://www.firstderm.com/boots-petechia-or-purpura/,Arnica (topical),Boiron Arnica Gel,None,N/A,"Cold compress, elevation"
herpes_simplex,Can be,,"Herpes simplex is a viral infection caused by the herpes simplex virus (HSV), which exists in two types: HSV-1 (commonly causing oral herpes, like cold sores).","Herpes simplex is a viral infection caused by the herpes simplex virus (HSV), which exists in two types: HSV-1 (commonly causing oral herpes, like cold sores) and HSV-2 (primarily responsible for genital herpes). The virus spreads through direct contact with infected skin or bodily fluids and can remain dormant in the body, causing recurrent outbreaks triggered by stress, illness, or a weakened immune system. Treatment includes antiviral medications like acyclovir, valacyclovir, or famciclovir, which help reduce symptoms, shorten outbreaks, and lower transmission risk. While there is no cure, lifestyle adjustments, stress management, and proper hygiene can help manage the condition and reduce flare-ups.",https://www.firstderm.com/boots-oral-herpes-simplex-cold-sores/,Docosanol (topical),Abreva,"Acyclovir, Valacyclovir","Zovirax, Valtrex","Avoid triggers, hygiene"
herpes_zoster,Can be,,"Herpes zoster (shingles) is a viral infection caused by the reactivation of the varicella-zoster virus (VZV), the same virus responsible for chickenpox.","Herpes zoster (shingles) is a viral infection caused by the reactivation of the varicella-zoster virus (VZV), the same virus responsible for chickenpox. It typically presents as a painful, blistering rash that follows a dermatomal distribution (along a nerve path) and is often accompanied by burning, itching, or tingling sensations. The rash usually affects one side of the body and can last 2–4 weeks. Treatment includes antiviral medications like acyclovir, valacyclovir, or famciclovir, which are most effective when started within 72 hours of rash onset. Pain management may involve NSAIDs, acetaminophen, or even nerve pain medications like gabapentin. In severe cases, corticosteroids may be used under medical supervision. Vaccination (Shingrix) is recommended for older adults to prevent shingles and its complications, such as postherpetic neuralgia (PHN).",https://www.firstderm.com/boots-herpes-zoster-shingles/,"Calamine lotion, Lidocaine cream","Caladryl, LidoPatch","Acyclovir, Valacyclovir","Zovirax, Valtrex","Rest, cool compresses"
impetigo,Can be,,Impetigo is a common and highly contagious bacterial skin infection caused by Staphylococcus aureus or Streptococcus pyogenes.,"Impetigo is a common and highly contagious bacterial skin infection caused by Staphylococcus aureus or Streptococcus pyogenes. It typically appears as red sores that burst, ooze, and form honey-colored crusts, often around the nose, mouth, and hands. It spreads through direct contact with infected skin or contaminated objects. Treatment usually involves topical antibiotics like mupirocin for mild cases, while more severe infections may require oral antibiotics such as cephalexin or dicloxacillin. Keeping the affected area clean, avoiding scratching, and practicing good hygiene help prevent spread and recurrence. If symptoms worsen or persist, a physician should be consulted.",https://www.firstderm.com/boots-impetigo/,"Antiseptic Cleansing, Polysporin, Neosporin — avoid if allergic","chlorhexidine, benzalkonium chloride, Bacitracin,
Neomycin/Polymyxin B","Mupirocin, Fusidic acid","Bactroban, Fucidin","Hygiene, avoid scratching"
